Original Comment,Cleaned Comment,VADER Sentiment,Hugging Face Sentiment
Thank GOD it was his ear and not the head otherwise he could have been the next kennedy thank you GOD for protecting mr DONALD J TRUMP AMEN.😢😮,thank god ear head otherwise could next kennedy thank god protecting mr donald j trump amen,Positive,NEGATIVE
Since when do you get appointed someone who is smaller than you to protect you?,since get appointed someone smaller protect,Positive,NEGATIVE
5 feet women bodyguard save 6 feet tall Trump...wooww... soo called world class security service 😂😂😂😂,feet women bodyguard save feet tall trumpwooww soo called world class security service,Positive,NEGATIVE
Harris Walz 2024!<br>💙🇺🇲🦅,harris walz br,Neutral,NEGATIVE
STAGED. Fake by the Trump campaign but BADLY faked.,staged fake trump campaign badly faked,Negative,NEGATIVE
its crazy how he was the only one to get shot with all those people behind him,crazy one get shot people behind,Negative,NEGATIVE
i hope the people behind him didn&#39;t get hit,hope people behind didnt get hit,Positive,POSITIVE
"Fake, fake, fake.",fake fake fake,Negative,NEGATIVE
"Damn This was a month ago, time flies.",damn month ago time flies,Negative,NEGATIVE
I watch this over and over hoping he doesn&#39;t miss each time.,watch hoping doesnt miss time,Positive,POSITIVE
The shot was miss..wat happen to the man behind,shot misswat happen man behind,Neutral,NEGATIVE
Badass,badass,Negative,NEGATIVE
This shit fake af lol,shit fake af lol,Negative,NEGATIVE
Trumpet ( take a look what happened in my fake shoot) 😂😅😂😅😊,trumpet take look happened fake shoot,Negative,NEGATIVE
"I don&#39;t like you,but im glad you are alright",dont like youbut im glad alright,Positive,POSITIVE
There is a definite conspiracy against Trump in the government. I believe they deliberately let that happen so he would be killed. Trump should hire his own security.,definite conspiracy trump government believe deliberately let happen would killed trump hire security,Negative,NEGATIVE
Bro got shot before Half-Life 3.,bro got shot halflife,Neutral,NEGATIVE
So sad what America has turned into,sad america turned,Negative,NEGATIVE
Who Shot J R,shot j r,Neutral,POSITIVE
Why were they all cheering after he got shot and before he raised his fists to say fight fight?,cheering got shot raised fists say fight fight,Negative,POSITIVE
I have not yet seen proof of a bullet .,yet seen proof bullet,Neutral,POSITIVE
Trump: <b>gets shot</b> also trump: Let me get my shoes,trump bgets shotb also trump let get shoes,Neutral,NEGATIVE
"look at his fingers when he grabs his ear.....no blood! 😅 I can&#39;t believe people believe this,we all know they don&#39;t",look fingers grabs earno blood cant believe people believe thiswe know dont,Neutral,NEGATIVE
"Lincoln, Regan, James Garfield,Trump, William McKinley all republican presidents that were assassinated or attempted to. And the Left says we as the right are the violent ones…Wake Up!!!… JFK is the only democrat and that’s a fishy one, may have been an inside job.",lincoln regan james garfieldtrump william mckinley republican presidents assassinated attempted left says right violent oneswake jfk democrat thats fishy one may inside job,Negative,NEGATIVE
The heck if he have not shaked his head aside in the the second half of the first second on the video 🙏,heck shaked head aside second half first second video,Neutral,NEGATIVE
"So where did the bullet go after hitting trumps ear with all the people standing behind him,you mean a ear stopped the bullet",bullet go hitting trumps ear people standing behind himyou mean ear stopped bullet,Negative,NEGATIVE
He wasn&#39;t shot in the ear.,wasnt shot ear,Neutral,POSITIVE
He said he was hit in the earlobes.  As a nurse cartilage does not grow back!!!  That is not how you dress an ear wound.  Where is the press briefing like anyone one else would have??  Why the shady doctor again the pill pusher writing the note shady.  Funny how Hulk hogan was just with trump long enough to show him how to fake an injury with fake blood capsule.  Why did secret service let him be exposed long enough for a photo op???  Come on people wake up this is crazy.  He would have had HIS EAR BLOWN OFF,said hit earlobes nurse cartilage grow back dress ear wound press briefing like anyone one else would shady doctor pill pusher writing note shady funny hulk hogan trump long enough show fake injury fake blood capsule secret service let exposed long enough photo op come people wake crazy would ear blown,Negative,NEGATIVE
Why is everybody clapping,everybody clapping,Neutral,POSITIVE
Bro has apex ledgends aim😭💀,bro apex ledgends aim,Neutral,NEGATIVE
This  even prove that  stop genocide  and Broken  by world  democracy  established  humanity  our peace  fully  earth becomes no  war in the y,even prove stop genocide broken world democracy established humanity peace fully earth becomes war,Negative,NEGATIVE
why did they missed? TT,missed tt,Negative,NEGATIVE
I like how some of them decided to record instead of hiding,like decided record instead hiding,Positive,NEGATIVE
it was the ear not face,ear face,Neutral,POSITIVE
I was there. It was insane. I’m so proud of Trump.  That moment with the fist gives me goosebumps every time,insane im proud trump moment fist gives goosebumps every time,Positive,POSITIVE
Ohhh...this ain&#39;t nothing...like trump once said&quot; migrant crime is worst then u.s. crime &quot; 🙄.,ohhhthis aint nothinglike trump saidquot migrant crime worst us crime quot,Negative,NEGATIVE
democRats are still mad that trump is still alive.,democrats still mad trump still alive,Negative,POSITIVE
Nahh this is a meme now💀,nahh meme,Neutral,NEGATIVE
Why trumps assassination videos are not found in social media,trumps assassination videos found social media,Negative,NEGATIVE
Ehh!,ehh,Neutral,NEGATIVE
Fake😂,fake,Negative,NEGATIVE
I’m going to take a educated guess and say that the shooter doesn’t like trump,im going take educated guess say shooter doesnt like trump,Negative,NEGATIVE
I bet “Schlugg” had a part in this…,bet schlugg part,Neutral,NEGATIVE
God Bless President Trump!  He has an angel with him!!,god bless president trump angel,Positive,POSITIVE
"Just listen to the clip. A gun doesnt change pitch between rounds. First 6 were from the same gun. 7 and 8 were from a different gun, sounds further away. And the final 9th shot was shot by secret service. Shots 4-8 happen rapidly and at the end of round 6, rounds 7 and 8 are immediately after, almost hard to catch. Almost. Makes you wonder.",listen clip gun doesnt change pitch rounds first gun different gun sounds away final th shot shot secret service shots happen rapidly end round rounds immediately almost hard catch almost makes wonder,Negative,NEGATIVE
"This is all Israel&#39;s doing, Israel is afraid that Donald Trump will no longer support Israel if he is elected.",israels israel afraid donald trump longer support israel elected,Positive,NEGATIVE
"Geez, that was bad",geez bad,Negative,NEGATIVE
This gives me chills even today,gives chills even today,Neutral,POSITIVE
"Dude he got shot ON HIS EAR, ANOTHER PERSON GOT SHOT AND DIED WTF IS WITH THIS WORLD",dude got shot ear another person got shot died wtf world,Negative,NEGATIVE
+♾️ aura,aura,Neutral,POSITIVE
Thise picture need to be a symbol of freedom.for generation,thise picture need symbol freedomfor generation,Neutral,POSITIVE
"The more i see this the more fake it looks.  Now his ear its all healed, intact",see fake looks ear healed intact,Negative,NEGATIVE
"I don&#39;t care what he&#39;s like as a politician, I hope he and anyone else who was injured heals soon. That must have been terrifying..",dont care hes like politician hope anyone else injured heals soon must terrifying,Negative,NEGATIVE
HELL NO WAY JJBA REFERENCE!<br><br><br><br><br>for those who dont know:<br>       in jjba part 7 funny valentine who is the president of america lost his ear                <br>due to jojo shooting with ball.,hell way jjba referencebrbrbrbrbrfor dont knowbr jjba part funny valentine president america lost ear brdue jojo shooting ball,Negative,NEGATIVE
Panie prezydencie aby złapać snajpera to trzeba się za nim schować z arigato to nie h nam Pan powie w końcu o co Panu chodzi to wszyscy będziemy bogaci a tego psa co strzelał to w 2007 roku s suką we wsi Wietlin w Laszkach Jan Turczyn w karcelu złowił a on jest wodzirej em od wesela u Heleny Prąski. Pozdrawiam serdecznie Paweł Koziełło wushu Sportowa,panie prezydencie aby zapa snajpera trzeba si za nim schowa z arigato nie h nam pan powie w kocu co panu chodzi wszyscy bdziemy bogaci tego psa co strzela w roku suk wsi wietlin w laszkach jan turczyn w karcelu zowi jest wodzirej em od wesela u heleny prski pozdrawiam serdecznie pawe kozieo wushu sportowa,Neutral,NEGATIVE
This really happened before gta 6? Nah man💀,really happened gta nah man,Negative,POSITIVE
that picture of trump holding up his fist in front of the US flag with blood on his face is the hardest picture in American history,picture trump holding fist front us flag blood face hardest picture american history,Neutral,POSITIVE
I can&#39;t believe anybody can believe this WWF.🤡,cant believe anybody believe wwf,Neutral,NEGATIVE
bro said &quot;that&#39;s just not my problem&quot;,bro said quotthats problemquot,Neutral,NEGATIVE
OMG....edited video....lady in black hat has been taken out,omgedited videolady black hat taken,Neutral,NEGATIVE
"There is a scene in the movie &#39;Shooter&#39; where Bob Lee Swagger has to &#39;plan&#39; to assasinate the president, it reminds me of this.",scene movie shooter bob lee swagger plan assasinate president reminds,Neutral,NEGATIVE
"At <a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY&amp;t=8"">0:08</a> you can see the arm of someone bleeding from a bullet",hrefhttpswwwyoutubecomwatchvnsfmptiiuvyampta see arm someone bleeding bullet,Neutral,NEGATIVE
I’m going to be 100% honest. I’m surprised this didn’t happen sooner because… <br>1. It’s conmen to assassinate the president of the USA (for some reason??) and… <br>2. A lot of people do hate Donald Trump.,im going honest im surprised didnt happen sooner br conmen assassinate president usa reason br lot people hate donald trump,Positive,POSITIVE
Came to see the man in the black out fit with green floppy hat lool,came see man black fit green floppy hat lool,Positive,NEGATIVE
Warrior,warrior,Neutral,POSITIVE
Trump 24,trump,Neutral,POSITIVE
Im either too high right now or this is highkey staged. I know bout the deaths but other than that did you hear anything else from them? Family members? Friends? Co workers?,im either high right highkey staged know bout deaths hear anything else family members friends co workers,Positive,NEGATIVE
✊🏾,,Neutral,Neutral
Donald duck!,donald duck,Neutral,POSITIVE
and no one behind was hurt? Only in fairy tales😅,one behind hurt fairy tales,Negative,NEGATIVE
So guys does that sound like a bb gun for you.,guys sound like bb gun,Positive,NEGATIVE
Shit looks fake,shit looks fake,Negative,NEGATIVE
That is so fake...Where does he get his white shirts from..are they blood proof...he should be ashamed to let people get killed and hurt just so he can stay relevant,fakewhere get white shirts fromare blood proofhe ashamed let people get killed hurt stay relevant,Negative,NEGATIVE
Dude wheres my shoesss!,dude wheres shoesss,Neutral,NEGATIVE
There&#39;s no way shikanoko did the same way for this assassination 💀💀💀💀,theres way shikanoko way assassination,Negative,NEGATIVE
Wait a minute…,wait minute,Neutral,NEGATIVE
"Interesting how this was scripted, FBI are democrats.",interesting scripted fbi democrats,Positive,POSITIVE
Oh that looks sore and bad,oh looks sore bad,Negative,NEGATIVE
"The bullet misses<br><br>Trump: thanks, satan! 😂",bullet missesbrbrtrump thanks satan,Positive,POSITIVE
Bunch of liars saying they wouldn&#39;t be cheering if this happened to biden 🙄,bunch liars saying wouldnt cheering happened biden,Negative,NEGATIVE
"FATHER HISTORICALLY UNITED STATE IS A CAREFULLY MATTER. OVER A VELVET, POOR CONNECTIONS IS FINALLY WHEREAS DOVER CITY IS AT ONCE",father historically united state carefully matter velvet poor connections finally whereas dover city,Positive,NEGATIVE
